beta受体拮抗剂,美托洛尔,倍他乐克,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,比索洛尔,康忻,诺释,苏莱乐,博苏,洛雅,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,卡维地洛,达利全,金络,妥尔,枢衡,凯络,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,塞利洛尔,苏亚,得来恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,艾司洛尔,艾洛,欣络平,欣洛平,奥一心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,拉贝洛尔,欣宇森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,阿罗洛尔,阿尔马尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,阿替洛尔,天诺敏,万马,氨酰心安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,普萘洛尔,海力欣,心得安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,倍他洛尔,卡尔伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,尼群洛尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,吲哚洛尔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta受体拮抗剂,索他洛尔,伟特,元齐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利尿剂,螺内酯,使尔通,安体舒通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利尿剂,依普利酮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利尿剂,吲达帕胺,纳催离,百普乐,悦南珊,圣畅,伊特安,纳斯力妥,立舒平,安泰达,寿比山,平至,,,,,,,,,,,,,,,,,,,,,,
利尿剂,阿米洛利,必达疏,武都力,安利亚,蒙达清,,,,,,,,,,,,,,,,,,,,,,,,,,,,
